date,hosp,incid_hosp,rea,incid_rea,rad,incid_rad,pos,pos_7j,tx_pos,tx_incid,TO,pop,P,T,Ti,Tp,Td,incid_dchosp
2020-08-12,4850.0,143.0,355.0,17.0,83461.0,241.0,2899.0,14383.0,2.34,21.43,0.0701858442071965,67114992.0,2899.0,111743.0,4.32,2.59,166.49,18.0
2020-08-13,4824.0,201.0,351.0,25.0,83651.0,203.0,3552.0,15770.0,2.52,23.5,0.0693950177935943,67114992.0,3552.0,121169.0,5.29,2.93,180.54,17.0
2020-08-14,4788.0,173.0,344.0,20.0,83836.0,191.0,3885.0,17345.0,2.68,25.84,0.0680110715697904,67114992.0,3885.0,132857.0,5.79,2.92,197.95,19.0
2020-08-15,4817.0,87.0,353.0,15.0,83880.0,49.0,772.0,17108.0,2.74,25.49,0.0697904310003954,67114992.0,772.0,26855.0,1.15,2.87,40.01,4.0
2020-08-16,4820.0,33.0,353.0,2.0,83909.0,29.0,689.0,17353.0,2.76,25.86,0.0697904310003954,67114992.0,689.0,22105.0,1.03,3.12,32.94,1.0
2020-08-17,4885.0,234.0,361.0,34.0,84053.0,148.0,5038.0,19531.0,2.93,29.1,0.0713720838275998,67114992.0,5038.0,154361.0,7.51,3.26,229.99,19.0
2020-08-18,4783.0,185.0,357.0,28.0,84297.0,255.0,4751.0,21584.0,3.07,32.16,0.0705812574139976,67114992.0,4751.0,145410.0,7.08,3.27,216.66,17.0
2020-08-19,4781.0,162.0,362.0,31.0,84440.0,161.0,4868.0,23553.0,3.2,35.09,0.0715697904310004,67114992.0,4868.0,145203.0,7.25,3.35,216.35,17.0
2020-08-20,4723.0,149.0,368.0,28.0,84615.0,187.0,5139.0,25140.0,3.27,37.46,0.0727560300514037,67114992.0,5139.0,153890.0,7.66,3.34,229.29,12.0
2020-08-21,4720.0,210.0,367.0,37.0,84802.0,189.0,5132.0,26387.0,3.29,39.32,0.0725583234480032,67114992.0,5132.0,164861.0,7.65,3.11,245.64,23.0
2020-08-22,4685.0,114.0,368.0,10.0,84923.0,139.0,2239.0,27854.0,3.3,41.5,0.0727560300514037,67114992.0,2239.0,69472.0,3.34,3.22,103.51,12.0
2020-08-23,4683.0,29.0,371.0,6.0,84946.0,24.0,1012.0,28177.0,3.33,41.98,0.0733491498616054,67114992.0,1012.0,23602.0,1.51,4.29,35.17,1.0
2020-08-24,4664.0,233.0,387.0,43.0,85172.0,232.0,6982.0,30123.0,3.43,44.88,0.0765124555160142,67114992.0,6982.0,187210.0,10.4,3.73,278.94,15.0
2020-08-25,4578.0,265.0,401.0,49.0,85494.0,334.0,6836.0,32207.0,3.55,47.99,0.079280347963622,67114992.0,6836.0,177738.0,10.19,3.85,264.83,22.0
2020-08-26,4535.0,215.0,373.0,21.0,85731.0,242.0,6713.0,34052.0,3.61,50.74,0.0737445630684065,67114992.0,6713.0,182074.0,10.0,3.69,271.29,19.0
2020-08-27,4517.0,225.0,375.0,32.0,85954.0,225.0,7445.0,36358.0,3.69,54.17,0.0741399762752076,67114992.0,7445.0,195160.0,11.09,3.81,290.78,15.0
2020-08-28,4517.0,241.0,381.0,32.0,86147.0,204.0,7645.0,38871.0,3.79,57.92,0.0753262158956109,67114992.0,7645.0,201715.0,11.39,3.79,300.55,19.0
2020-08-29,4512.0,135.0,394.0,28.0,86268.0,127.0,3050.0,39682.0,3.82,59.13,0.0778964017398181,67114992.0,3050.0,84919.0,4.54,3.59,126.53,6.0
2020-08-30,4517.0,23.0,396.0,5.0,86280.0,13.0,1316.0,39986.0,3.83,59.58,0.0782918149466192,67114992.0,1316.0,27784.0,1.96,4.74,41.4,4.0
2020-08-31,4564.0,254.0,403.0,45.0,86439.0,163.0,9499.0,42503.0,3.96,63.33,0.0796757611704231,67114992.0,9499.0,219626.0,14.15,4.33,327.24,29.0
2020-09-01,4586.0,300.0,418.0,54.0,86682.0,252.0,8877.0,44545.0,4.08,66.37,0.0826413602214314,67114992.0,8877.0,196228.0,13.23,4.52,292.38,19.0
2020-09-02,4614.0,317.0,440.0,57.0,86933.0,258.0,9082.0,46914.0,4.25,69.9,0.0869909054962436,67114992.0,9082.0,195224.0,13.53,4.65,290.88,26.0
2020-09-03,4625.0,307.0,458.0,55.0,87176.0,252.0,9766.0,49235.0,4.42,73.36,0.0905496243574535,67114992.0,9766.0,203273.0,14.55,4.8,302.87,21.0
2020-09-04,4653.0,292.0,467.0,46.0,87417.0,247.0,10102.0,51692.0,4.57,77.02,0.0923289837880585,67114992.0,10102.0,217625.0,15.05,4.64,324.26,19.0
2020-09-05,4667.0,168.0,476.0,23.0,87549.0,137.0,4055.0,52697.0,4.63,78.52,0.0941083432186635,67114992.0,4055.0,93227.0,6.04,4.35,138.91,12.0
2020-09-06,4697.0,66.0,480.0,8.0,87578.0,29.0,1473.0,52854.0,4.64,78.75,0.0948991696322657,67114992.0,1473.0,28464.0,2.19,5.17,42.41,3.0
2020-09-07,4889.0,448.0,531.0,83.0,87806.0,236.0,12264.0,55619.0,4.79,82.87,0.104982206405694,67114992.0,12264.0,244276.0,18.27,5.02,363.97,25.0
2020-09-08,4942.0,490.0,568.0,86.0,88196.0,402.0,11671.0,58413.0,4.85,87.03,0.112297350731514,67114992.0,11671.0,241312.0,17.39,4.84,359.55,39.0
2020-09-09,4985.0,386.0,593.0,71.0,88494.0,304.0,11340.0,60671.0,4.87,90.4,0.117240015816528,67114992.0,11340.0,237370.0,16.9,4.78,353.68,30.0
2020-09-10,5077.0,352.0,608.0,54.0,88712.0,229.0,12063.0,62968.0,4.86,93.82,0.120205614867537,67114992.0,12063.0,251255.0,17.97,4.8,374.36,19.0
2020-09-11,5136.0,447.0,628.0,64.0,89029.0,332.0,11295.0,64161.0,4.79,95.6,0.124159746935548,67114992.0,11295.0,260566.0,16.83,4.33,388.24,40.0
2020-09-12,5176.0,243.0,655.0,51.0,89201.0,180.0,4503.0,64609.0,4.79,96.27,0.129497825227363,67114992.0,4503.0,101947.0,6.71,4.42,151.9,17.0
2020-09-13,5228.0,98.0,662.0,18.0,89240.0,40.0,1570.0,64706.0,4.8,96.41,0.130881771451166,67114992.0,1570.0,29142.0,2.34,5.39,43.42,6.0
2020-09-14,5479.0,545.0,705.0,104.0,89477.0,247.0,14753.0,67195.0,4.88,100.12,0.13938315539739,67114992.0,14753.0,275472.0,21.98,5.36,410.45,34.0
2020-09-15,5660.0,642.0,752.0,117.0,89861.0,397.0,13535.0,69059.0,4.93,102.9,0.148675365757216,67114992.0,13535.0,265946.0,20.17,5.09,396.25,37.0
2020-09-16,5800.0,649.0,796.0,100.0,90305.0,450.0,13465.0,71184.0,5.04,106.06,0.157374456306841,67114992.0,13465.0,247194.0,20.06,5.45,368.31,46.0
2020-09-17,5825.0,599.0,793.0,81.0,90810.0,514.0,13763.0,72884.0,5.18,108.6,0.156781336496639,67114992.0,13763.0,244165.0,20.51,5.64,363.8,50.0
2020-09-18,5800.0,850.0,820.0,100.0,91544.0,754.0,13306.0,74895.0,5.38,111.59,0.162119414788454,67114992.0,13306.0,244482.0,19.83,5.44,364.27,123.0
